number,state,value,batch_size,dropout_rate,embed_size,hidden_size,num_steps
89,COMPLETE,0.19809241592884064,7.0,0.4099162335704313,7.0,5.0,5611.0
90,COMPLETE,0.2085465043783188,8.0,0.4552123165529676,7.0,5.0,7143.0
91,COMPLETE,0.19675534963607788,7.0,0.49167577836368115,7.0,5.0,7502.0
92,COMPLETE,0.1950766146183014,7.0,0.4712951692408267,6.0,5.0,6682.0
93,COMPLETE,0.19465376436710358,7.0,0.42490627220586424,6.0,5.0,6703.0
94,COMPLETE,0.19813136756420135,7.0,0.4245106688262187,6.0,5.0,6728.0
95,COMPLETE,0.19790558516979218,7.0,0.4714757857244641,6.0,5.0,5660.0
96,COMPLETE,0.19851985573768616,7.0,0.4420032072404977,6.0,5.0,5109.0
97,COMPLETE,0.19955435395240784,7.0,0.48059237606452887,7.0,5.0,8194.0
98,COMPLETE,0.27669379115104675,10.0,0.432985311095056,6.0,5.0,7567.0
99,COMPLETE,0.20089131593704224,7.0,0.4606678037999201,6.0,5.0,9262.0
100,COMPLETE,0.2006564438343048,8.0,0.46859057742566523,7.0,4.0,3967.0
101,COMPLETE,0.20074184238910675,7.0,0.48823649728096935,6.0,5.0,2977.0
